rname,N_infty per mole parent,uncertainty,min_N_infty
F19-16,97967491.53200723,264039.7794125194,556449.1273765435
Ne20-32,21313343.233452383,58313.36982341123,114688.88880566077
Ne20-41,60458190.166419886,163373.99612987382,402511.6395646775
Ne20-105,4654038.452508117,13568.806289385546,27899.9325314569
Ne21-11,20591.27642054906,356.9609350457356,4.642468386844819
Ne21-33,10909.53164351,258.35762325130344,0.7851227421698397
Ne21-42,30372.262386107977,435.98915077176565,11.185312282975971
Ne22-156,44520.36459448664,532.1370501290294,24.044964471909733
Ne22-154,120667.34693603058,913.0595223991837,158.509006974553
Ne22-157,94472.97605157457,796.7937537712195,102.47689223455272
Na23-16,137392006.80419382,1569524.8204231507,45002.64451996016
Na23-24,26088979.290982444,71131.7759823311,150792.62660360607
Na23-177,68933.69008978922,671.2455142552786,56.095340375209105
Na23-185,78320.39470241596,719.1798785018725,71.6711783510477
Mg24-155,725251.8634159755,2858.100141088123,2515.9762873332775
Mg24-158,1996362.8608159132,6384.534353335202,14989.431524521247
Mg24-159,3526860.5968844094,10530.40898142561,30524.970775437516
Mg24-41,87710633.79649736,1248079.6221582429,21072.149486941093
Mg25-181,14298.727854007102,296.3681591260121,2.5681720457902943
Mg25-189,40070.25919998839,503.5681100456618,19.55613691077518
Mg26-102,2734971.72165622,7890.25645000253,141545.15206208115
Al27-30,532057.0611117051,2291.809589516612,2212.5831068234393
Al27-102,144713962.49493176,213302.85649199097,31045849.638590407
Al27-103,99778289.54612713,114748.27853419469,4207795.973080198
Si28-103,244113088.5653671,349566.66296458425,8084261.675007402
Si28-111,11482489.412397277,19625.02875349603,208773.7402458687
Si28-113,10320.545522684826,251.19960194214104,1.3442036265851298
Si29-28,15200635.358441778,33041.46491420936,119638.05524756525
Si29-44,479192.0883607232,3069.086731993167,570.1762961218848
Si29-104,2230457.5783241554,10296.158488938108,3843.575693290442
Si29-106,51990.57812467894,992.9542617205822,6.0516679707238525
Si29-115,136517.77844652545,1615.1455876656,42.01260977988305
Si30-32,1175248.8156239572,7316.785439139325,1240.8140173882418
Si30-34,81263.17996528055,1243.0630836306589,20.26366817662542
Si30-41,4655526.16554873,15569.761901105785,18370.645671399823
Si30-183,72605.8896282354,1174.5236365162013,20.970228292858188
Si30-190,114245.31507527884,1476.0737410255558,52.73449196463803
Si30-105,148201.88961353962,2542.8045621781775,22.174423767251483
Si30-107,1601044.007444829,5833.723713797445,12887.28057461608
Si30-116,17601.63069643113,586.0529915163562,0.7990425448254755
P31-34,4913752.752036851,16069.852395834481,23963.332027084925
P31-183,9822672.74731618,24628.031771056678,112928.61246257508
P31-186,388330.3829475985,2752.942720409261,596.1505217110147
P31-190,16323770.079404281,34738.21018971675,274481.93603924447
P31-192,29339.39039909827,745.1401299670506,3.493623325945275
P31-103,198679969.4248242,3929296.786845108,23597.70465659537
P31-107,117990878.3231449,176608.73904507313,4514085.395731058
P31-112,5883213.604601698,12545.597282574647,69284.30968160013
P31-116,2639466.3315952388,11290.375640681616,6810.032599722433
S32-186,1933324.6001760436,9529.562695911349,6138.065607758741
S32-192,132156.19048580772,2400.3812948938507,30.698236260250074
S32-112,26009628.549954776,48934.97572411862,392523.96578551823
S33-45,178365.07453159068,2791.3996996248006,35.59605093684465
S33-193,1254.0280774444034,180.93732657001632,0.004082783590269378
S33-117,29891.214923073592,1139.0745942000774,0.8759157448085136
S34-155,27138.282162927124,1085.2899033128563,0.943077242829212
S34-158,98826.05279440776,2074.249790381758,17.11704483817783
S34-159,265454.943406323,3411.7078747419396,123.92935084490728
S34-108,28726.748135394842,737.2983670146615,2.203514490652529
Cl35-108,2645027.894823299,11303.483074042459,8002.0368078703
Cl37-30,236936.59635349055,3221.275115796432,98.83898917303387
K39-109,70273.89242377525,1748.0563796314818,7.757669738829986
Sc45-102,16524398229.172665,271067554.8303395,29808819.91705381
Ti46-16,25129798.165770344,125452.99925739897,37671.77008142147
Ti46-103,26119431.42413699,446828.6385186068,4919.884472852496
Ti47-17,5858283.286381776,29882.99852600066,9001.501563194779
Ti47-103,13740378.144997517,116361.92278738575,8982.269143051122
Ti48-28,215884848.057899,1767845.1383688182,118029.37114068042
Ti48-37,12124646.166033877,60969.05447869964,35418.1240607185
Ti48-103,52690714.832926065,123613.5966800431,497976.1269721835
Ti48-104,45630400.1608982,376938.4752531321,24240.533489768895
Ti49-152,101420.13026174883,997.4446648274006,80.9077021674492
Ti49-28,9853670.387148352,30850.726613773295,36642.94934050187
Ti49-32,2191373.4138850276,21687.7419795762,926.5497073574892
Ti49-41,9904565.970951919,84997.63544622043,5628.524449271152
Ti49-104,1843281.1485493772,9827.870405370379,2399.7901356267844
Ti49-105,474825.1421174109,6893.44249324038,95.24169478943398
Ti50-11,1256387.1665664315,13830.108536288652,723.2749629887263
Ti50-32,1565022.3883762779,8883.171332245265,2121.866946621974
Ti50-33,457195.4990755488,6724.378853265481,96.91686875065925
Ti50-41,5336132.322529322,19802.87527912908,18302.033653711085
Ti50-42,3719137.304548722,34314.634198174936,3255.89921394806
Ti50-105,244590.4782319436,3909.208401918117,40.82061286903899
V51-22,50374309.61678185,415695.861462761,35688.85921505599
V51-34,5128381.419465202,19262.974381099186,22241.880311952245
V51-176,5292499.97222034,47237.42638761136,5117.21703723975
V51-179,1115168.3674458792,12619.919721761513,671.897676849058
V51-183,1402858.1622404158,8310.71248627982,3013.3609503870343
V51-184,908727.4554932598,10828.629730141893,491.15261183795224
V51-190,3200361.116940934,13998.657923383824,12858.75433437182
V51-107,18020354.00402073,49250.73989919982,168570.0427374775
V51-116,288019.1000963299,3573.1214069261796,107.38734898050058
Cr50-24,725549.3818486446,4282.0733675617175,991.463609807888
Cr50-177,5705.255382948365,206.00433539904625,0.3376506158210287
Cr50-102,424011400.6214717,2041908.8209656589,8764529.583500344
Cr52-16,661203130.9563619,2798172.0481032156,1501547.7959761147
Cr52-165,51743.76620387143,666.2634156165672,24.081147203971682
Cr52-45,5834666.023536756,51682.49835859261,4522.369641015733
Cr52-112,1119430.274105195,7260.2174255832315,1135.4933873507946
Cr52-117,354989.4565339371,5717.296392528953,80.75224317239415
Cr53-17,33013428.649279464,464030.22895486944,7141.572707184174
Cr53-159,295572.40479007695,5103.357060600264,76.47203713926268
Mn55-16,905701738.1736226,3970449.36158766,2837115.4328116095
Mn55-29,499547.22529013955,7128.668707738422,166.53786904119153
Mn55-156,24538115.097835686,397849.64317957277,7202.277677123765
Mn55-102,9417008790.06423,13430936.507017642,1675172728.0434182
Fe54-16,9056327.326340016,347829.97820953844,213.96933163558833
Fe54-30,9633.675594114477,269.43721119322095,0.9502894132967131
Fe56-24,36270610.170437925,487410.30864171503,8693.357124523189
Fe56-32,35033717.556081586,740243.58034665,3278.010983734918
Fe56-41,310412614.65411025,2242413.6645830194,237983.01331898727
Fe56-103,108583523.98933557,160963.58939564918,2728078.8920311807
Fe57-28,4536900.0412912695,11020.988279418563,27178.906363569633
Fe57-104,677727.7020357508,3488.5588477349165,929.7240826877569
Fe58-32,79633.09932354225,1218.6694027648527,14.253353729909021
Fe58-41,373843.5882920062,2516.4785869177485,341.8318471989573
Fe58-105,13658.766063771127,502.8592759311847,0.43943785961489695
Co59-17,354272121.4596167,1765981.8811211807,631578.4628185717
Co59-24,50271890.655553214,887610.7431857919,6477.422921993072
Co59-34,4767879.245566352,11400.010345339444,46267.781930521625
Co59-183,2610735.606852809,7703.599689774314,21856.20976445725
Co59-190,9645774.935761662,18979.393292363202,188142.11270504264
Co59-102,28116015818.176147,976635556.3997633,7504160.396829851
Co59-103,69826880.30389142,528633.7939151364,55196.77494930333
Co59-107,23889184.774153937,39832.73729397927,765490.6637950711
Co59-116,568005.1767693659,3162.8112677873837,925.4391308128583
Ni58-16,71318990.7107947,733662.2552483892,26950.607226483888
Ni58-28,725841346.058585,3240175.8680354324,1548591.3654460798
Ni58-197,1439951.6389291198,5368.682307797381,4433.926498087232
Ni58-104,53775447.17904275,499335.71171046613,21819.9884718742
Ni58-112,64147098.11383877,1003547.1898299131,13337.852635495892
Ni60-37,889773.3599773663,13211.837565806263,290.5486114495878
Ni60-42,41506731.85395631,429255.48015429254,26354.203482036803
Ni60-186,124823.20686620468,1443.6980286167034,71.99860908059081
Ni60-112,969824.1758117662,4269.986283933875,2504.798346667025
Ni61-45,63108.9233793565,1083.8901111641962,10.596726334015717
Ni62-158,12469.76437379679,480.44197282552153,0.6438604486632118
Ni62-159,113931.25905618344,1377.3493574992908,60.110445883633595
Cu63-16,546516863.8457227,1099847.9321172382,6408279.34399234
Cu63-25,19517680.826643072,282385.7207458134,6540.931328551511
Cu63-102,2428233095.986621,17651411.28971965,14028265.709620045
Cu63-108,216760.98280376036,1880.3221329627129,139.9665356198302
Cu65-16,266529781.5567804,2169562.6054549795,331418.59786043904
Cu65-30,106329.46461147287,1329.2912787207542,52.46698659987687
Cu65-37,37546460.06576214,77040.85414168947,503433.73762079264
Zn64-32,17052819.034591865,35824.81791319101,158541.8423412899
Zn64-41,193149846.53306717,389764.6286482753,1897291.259056099
Zn64-103,142804052.07957962,1246817.3055967414,99496.49203379673
Zn64-105,7736548.013445327,17055.476685936737,67155.41641431881
Zn66-154,1084835.9354380928,3406.9073107247095,8048.108395355709
Zn66-156,6291426.4425382055,14134.732956035146,96175.33124932153
Zn66-32,10638842.37870148,133049.32087756044,2819.886062644001
Zn66-157,1620284.1026747632,4565.940493021963,15743.478785524227
Zn66-41,74621935.06772985,709390.0827655697,33009.27296761742
Zn66-105,2121589.226410088,28638.443593194097,491.9807293782455
Zn67-11,1190903.8049727615,17151.002820932383,344.096475657443
Zn67-33,557861.4055028016,9210.398598973541,83.01501469615917
Zn67-42,5334028.254600339,68057.3202857967,2076.257706261583
Zn67-162,20926.825558639855,365.9958939136063,5.279011823483325
Zn67-169,18753.123900966875,346.2278380467346,4.245138849607552
Zn67-172,53773.888439032606,592.7675858757972,34.14604358301822
Zn67-103,2441087.7960738125,22421.126301321885,1191.7155234919514
Zn68-28,32550477.988767207,224627.98046283348,24866.494394907633
Zn68-154,1153231.3255600233,16683.41100367102,387.0274536380337
Zn68-156,5462876.404981237,69636.52363836845,2594.082270156675
Zn68-157,1885663.7591729662,25733.995486162195,781.030399074183
Zn68-173,3875.016349386877,156.63967160642053,0.18298356653087028
Zn68-104,6912966.804098058,54756.45263549062,4056.924113197709
Zn70-42,391230.3452229397,6302.304065196718,102.8605556778723
Ga69-24,33880355.9469615,356012.6207267517,12283.02344022618
Ga69-44,2892489.1760309595,25732.717279909226,1668.9977895491936
Ga69-165,3269340.7740665204,7992.130758560267,42213.389047507146
Ga69-177,1343030.757962221,19036.106565544105,515.8181507480916
Ga69-106,1645518.2785417421,16498.146426432762,659.4165283649036
Ga69-115,419390.6542769036,6571.113578010328,78.22778360970973
Ga71-22,12456833.746873258,94447.60397499536,9986.114612595378
Ga71-165,3736726.4607906677,48473.269380226266,1713.400583688288
Ga71-176,2447698.0092223473,22469.80913883588,2207.5128680164985
Ga71-179,283814.8344236663,5221.206518145406,64.70802973045627
Ge70-158,207331.45790869638,4541.884852392541,31.704412750700858
Ge70-159,2371889.6563631105,31716.81509352592,1002.5004597108793
Ge70-196,2859.249613695132,134.5084787262366,0.09969006748001169
Ge72-45,328457.15383470716,5682.945346565394,57.923407006983524
As75-16,1217741032.7936692,49775246.42276041,40509.11262343647
As75-29,167999.97663584628,3891.7451100999797,17.30356474949539
Se76-32,2991604.196581882,148595.27171624024,52.49483054597896
Se76-41,17621497.09589336,828398.8894898695,321.8602405178352
Se77-42,7924102.724071497,382580.82282374403,230.52367554547135
Se78-156,5302277.2847456,258239.63377776567,172.47888369790255
Br79-24,17692552.81525465,831712.5208494755,324.24589042405563
Br81-165,2583010.2216592,129189.94834445056,79.67387171207601
Y89-16,1265217725.6557016,3190078.3872428453,10526678.089984203
Zr90-16,732037960.0075006,1280593.4116548526,9899510.462155681
Zr90-32,20096398.64921528,354916.1383509381,2991.104803085227
Zr90-41,137745714.3642373,782589.2212786509,174227.02623961505
Zr91-42,16533115.094501102,320787.41848902666,2878.945991163225
Zr96-16,44310577.9915491,390643.62066280254,38217.79762761657
Zr96-102,27722347.359350868,72478.70929830517,1172923.6810062164
Nb93-24,47806428.43127256,438490.87803224556,23318.9898663601
Mo100-34,262170.3562589113,3420.665205014504,94.80579170211524
Mo100-107,488015.5481812135,4731.14701092459,304.6055571054647
Ru102-102,494372881.51272535,4336221.670157104,1024359.004540224
Ru104-16,294778831.71378875,2950836.814631783,193971.10245343554
Rh103-103,46196718.11488054,675725.4060896751,8038.188034083397
Pd108-24,4883123.217806728,105990.65974378843,423.64336705269614
In113-102,2523541356.4837704,89070448.02303213,736323.2559595366
In115-102,550446516291.9137,65643537529.83246,33285964.686801195
I127-16,1295716692.7598639,13972708.237896776,1059965.5279287158
Xe129-11,6495291.6812998345,123306.38366621465,1160.777822066543
Xe129-33,3644703.3338923478,75895.03359678772,346.45480475279214
Xe129-42,17042617.79476655,296368.18843803497,3830.209258627305
Xe131-103,5212520.226687704,61275.02068196639,1367.6033532515926
Xe132-28,32016325.505028263,236244.08109085594,23154.936708345173
Xe132-104,6622682.184494089,67020.05807586762,2446.9173774600104
Xe134-11,2046070.7663030494,29805.119632295988,626.1222233433501
Xe134-33,968563.464415179,18061.38824245343,115.13246289723541
Xe134-42,5195684.133114716,61111.34282909298,2694.596180168231
Xe136-22,740328.2043980326,7870.638750266802,297.8547308759401
Xe136-176,174541.84383137853,3478.573908288886,33.87417672731754
Cs133-165,7700717.446890583,143185.6181347657,1718.5732675089037
Cs133-106,1658391.2465922171,25727.953003405713,284.098078521694
La139-102,8629320259.364872,10926251.356133476,1306713988.6600893
Ce140-102,312121348.57085603,1731589.8271795239,4810595.745761049
Ce140-103,28341393.899052475,65216.41101984517,195550.92846003384
Ce142-16,213589586.43544227,1209014.1224479722,436673.6608764356
Ce142-32,2185498.1170243174,13568.597595235296,2339.2862169861432
Ce142-41,8472793.755310524,29657.967938085694,31749.00112988631
Ce142-102,70229675.55443694,338777.3122863959,1365561.5234700174
Ce142-105,517663.6401441597,5967.832013286947,166.57370380670397
Pr141-16,1750675452.3619266,30271902.1194797,419697.0819895584
Pr141-103,27584250.609188225,211895.70856035894,17600.918458984786
Nd142-32,9564801.242253298,170352.53149919043,1390.294737057737
Nd142-41,33274181.372158594,583454.4078393658,5130.991343808314
Nd142-105,2473640.339617623,45052.017357600744,306.4267703595812
Nd143-11,3484090.5073604775,63087.23662941866,681.4014635925013
Nd143-33,2118200.021288689,38693.543252152,263.21507260423004
Nd143-42,9301914.21486982,165724.89931497414,1951.2660601996058
Nd144-154,2356510.150344753,42957.6836865359,464.81164890346713
Nd144-156,8232267.486803265,146885.72014518557,1992.787087803567
Nd144-157,3377264.6111553246,61182.80026280878,790.7217854014813
Nd144-107,3202358.01337131,54982.99009964659,722.892543932364
Nd145-22,2149854.0360723394,44340.518327124606,229.4962482118253
Nd145-162,672622.9750510537,12718.323527758042,145.16113464611288
Nd145-169,390820.7425341922,7567.154552936215,80.43824019725821
Nd145-172,513853.1962165409,9819.574451463543,108.0046606502634
Nd146-24,3005414.782075318,53109.42372904014,385.0158031240198
Nd146-34,458499.91859921406,7459.173758128521,102.43302436938016
Nd146-163,35922.77795711677,973.7384649110335,3.772420429773359
Nd146-170,42730.25204087384,1108.85149156251,4.896148617434576
Nd146-173,227959.63827063574,4572.202546962234,43.72380546406463
Nd146-107,840206.0524898975,11597.597354223151,271.41130749109044
Nd148-24,691525.9455782312,10013.461583578894,132.70302856607628
Nd150-165,386958.9278022771,6644.434524170294,97.86115156803113
Sm144-186,1220.6007261649083,131.93721634828356,0.008060145904616282
Sm144-112,3882.3324986046023,242.85884558640586,0.039435193467634265
Sm147-181,41731.47074143225,1089.1459121551604,4.726903744680121
Sm147-189,2262.261094266199,181.8979127176972,0.026181344148568757
Sm148-196,2990.3484324234087,210.94261236059344,0.04636942843420812
Eu151-195,4807.620935964231,273.1167349098314,0.11494471257890063
Tm169-16,1747959661.5153418,4894722.28206102,19668461.61956712
Tm169-17,1464742746.2213652,19261441.421381567,381335.8275137164
Yb170-11,837752.8235316548,123862.59391672155,2.435316153145463
Yb170-42,2439647.0671568764,358370.6377378526,7.489135049746729
Yb171-154,1597852.2764877842,235137.74511149767,4.5091451849896735
Yb171-156,5615400.038229035,823275.7727895747,20.03492901251507
Yb171-157,2371644.610249292,348415.5808036769,8.363638389098975
Yb171-42,9667208.122055685,165335.32394207414,2134.636074953379
Yb172-156,6913204.427668939,138134.6095070029,1332.3507358253187
Yb172-162,1867242.4373247034,274574.69563015876,6.663096514250311
Yb172-169,937712.6608928695,138496.5304286779,3.316855063942714
Yb172-172,1130569.8923070414,166730.1553782109,3.995599496982983
Lu175-165,10203334.053939022,170252.71066109877,2806.5505043094504
Lu175-166,3908870.311728358,573453.5482685828,14.013590394077912
W186-102,20828429393.119038,72347779.77795869,335777128.72981644
Re187-103,12106474.874634288,79913.78478627198,9979.08464314801
Os190-34,382873.9422471052,5692.481126662484,117.69743036170789
Os190-107,1619611.9199237856,15302.20947700419,898.6056411662324
Os192-24,2820460.3346622367,23149.846029895674,1760.1582824720763
Os192-177,329746.65218801075,5123.5694985203845,105.38792559893851
Au197-102,248729886702.63678,1044295119.120028,20041276074.796867
Bi209-17,1539959666.7772658,25834577.03004317,271132.75393221504
